,age,address,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,last name,first_Name,range_age,Month_number,categorizes_geo
1,33,"3887ratkemeadows\nnorthleannaton,vi94092-4948",services,married,secondary,False,4789,True,True,cellular,11,may,220,1,339,4,failure,False,swift,domenico,3,5,nan
2,35,"056 pfannerstill cape st.\neast marta, nj 21058",management,single,tertiary,False,1350,True,False,cellular,16,apr,185,1,330,1,failure,False,gulgowski,talon,3,4,nan
5,35,"3547 treutel crossing apt. 567\nreillytown, as 77039-3937",management,single,tertiary,False,747,False,False,cellular,23,feb,141,2,176,3,failure,False,effertz,richmond,3,2,nan
6,36,"177corneliuscampapt.478\nnikolausbury,aa16457-1154",self-employed,married,tertiary,False,307,True,False,cellular,14,may,341,1,330,2,other,False,mcclure,lauren,3,5,nan
9,43,"03353corkeryprairie\nwestlonnie,ar87918-1164",services,married,primary,False,-88,True,True,cellular,17,apr,313,1,147,2,failure,False,willms,justina,4,4,nan
14,31,"0036 0'r3illy gr0v3s apt. 281\npark3rvill3, va 86050-0641",blue-collar,married,secondary,False,360,True,True,cellular,29,jan,89,1,241,1,failure,False,witting,donavon,3,1,nan
17,37,"84007 k3agan cr0ssing\nn3w j0rdynm0uth, wi 12784",admin.,single,tertiary,False,2317,True,False,cellular,20,apr,114,1,152,2,failure,False,boyer,therese,3,4,nan
19,31,"52473rn3stinaclubav3.\n3astj0nathanburgh,va41037-0979",services,married,secondary,False,132,False,False,cellular,7,jul,148,1,152,1,other,False,oberbrunner,adalberto,3,7,nan
27,67,"649bogisichdrivesst.\nmelodyview,aa86254-5642",retired,married,unknown,False,696,False,False,telephone,17,aug,119,1,105,2,failure,False,denesik,ansel,6,8,nan
38,33,"61573hesselglen\nkerlukehaven,mo78369-8019",management,married,secondary,False,3935,True,False,cellular,6,may,765,1,342,2,failure,True,thiel,eulah,3,5,nan
40,38,"7575 p0llich fi3ld av3.\nlak3 shani3land, ga 48064-0663",management,single,tertiary,False,11971,True,False,unknown,17,nov,609,2,101,3,failure,False,hickle,philip,3,11,nan
46,55,"7822 w3b3r stati0n \nw3st maryjan3b3rg, sd 78054",blue-collar,married,primary,False,145,False,False,telephone,2,feb,59,3,5,2,other,False,thompson,isabella,5,2,nan
49,61,"381 murazik unions apt. 114\nstrosinton, fm 05678",admin.,married,unknown,False,4629,True,False,cellular,27,jan,181,1,92,1,success,True,lockman,felton,6,1,nan
53,34,"603 geovany club \nwest chad, nj 94040-2180",technician,married,tertiary,False,1539,True,False,cellular,15,jun,441,1,56,1,other,True,boehm,amely,3,6,nan
65,51,"39792 dereck dam\nnorth evie, ri 78890",blue-collar,divorced,secondary,False,203,True,False,cellular,8,may,134,1,170,5,failure,False,rowe,prudence,5,5,nan
70,37,"0170 mohr parks ave.\nconnellytown, ky 29076-5325",management,married,tertiary,False,0,False,False,cellular,16,jul,268,2,182,3,success,True,franecki,misael,3,7,nan
76,41,"985 zelda bridge apt. 181\nsipesmouth, pr 14631",blue-collar,divorced,secondary,False,174,True,False,cellular,14,may,367,2,297,1,other,False,friesen,roma,4,5,nan
79,40,"23563 williams0n plains\nlak3 kal3shir3, ny 52332",unemployed,married,secondary,False,219,True,False,cellular,17,nov,204,2,196,1,failure,False,russel,kole,4,11,flat
83,52,"9329leuschkeharborave.\nsouthgiuseppe,mi01799",services,married,secondary,False,657,False,False,telephone,7,jul,398,2,460,2,failure,True,kuvalis,verlie,5,7,nan
97,30,"9804 crona lock suite 555\nporterstad, oh 74434-0051",admin.,single,tertiary,False,261,False,False,cellular,19,oct,233,1,137,20,failure,False,dicki,polly,3,10,nan
98,36,"5835 davis fall apt. 454\nnew laurel, mn 50972-9205",blue-collar,divorced,secondary,False,2843,False,False,cellular,12,feb,473,1,182,1,success,False,douglas,maximo,3,2,nan
101,38,"717 andres manors \nlake griffin, nh 22488-4768",management,single,tertiary,False,493,True,False,cellular,11,may,553,1,367,7,failure,False,bayer,alanna,3,5,water
105,32,"41399 lu3ttg3n missi0n\np0rt guadalup3, ga 83777-4095",management,single,tertiary,False,574,True,False,cellular,14,apr,259,2,145,3,failure,False,bailey,chesley,3,4,nan
110,21,"336cummeratasummitst.\ntrantowmouth,oh30723",student,single,secondary,False,2488,False,False,cellular,30,jun,258,6,169,3,success,True,klein,dane,2,6,nan
113,33,"4532 beulah junctions apt. 735\neast raphaelville, ma 10842",blue-collar,single,secondary,False,22,False,False,cellular,30,jan,76,2,207,1,failure,False,hoeger,ellen,3,1,nan
124,51,"545jav0nt3cr0ssr0adst.\nn3wsinc3r3hav3n,wy47651",management,single,tertiary,True,-55,True,False,cellular,11,may,281,2,266,6,failure,False,nolan,elyssa,5,5,nan
128,32,"1274brycenglens\nwestkatarina,co31104-3663",blue-collar,single,secondary,False,228,False,False,telephone,5,feb,176,1,288,3,failure,False,lueilwitz,nathaniel,3,2,nan
133,48,"6812 gayl0rd isl3 av3.\ns0uth macishir3, pw 39839",admin.,married,unknown,False,0,True,False,cellular,8,may,85,1,168,2,failure,False,cruickshank,jaquan,4,5,nan
136,29,"602jaidenloafst.\nnorthmuhammadfurt,az45534-7818",admin.,single,secondary,False,428,True,True,cellular,7,may,54,1,345,2,failure,False,zieme,amira,2,5,nan
148,46,"9157 z03y bridg3 av3.\nkirlinshir3, fm 41569",admin.,married,secondary,False,179,True,False,cellular,29,jan,194,4,436,1,other,False,gusikowski,gladys,4,1,nan
156,55,"1059 anahi divide ave.\neast timothystad, id 41715",admin.,married,secondary,False,602,False,False,cellular,1,jun,324,3,90,2,success,True,brekke,junior,5,6,nan
157,55,"846 rayn0r gr33ns \nj3rr3llbury, a3 14092-6324",technician,married,secondary,False,273,True,False,cellular,29,jan,84,3,183,3,failure,False,glover,abagail,5,1,nan
164,28,"809padbergstationsuite328\nwestloma,ks46670",management,single,tertiary,False,80,False,False,cellular,20,oct,676,2,146,2,failure,True,dibbert,bobby,2,10,nan
172,40,"537blocklockst.\nseanborough,ky87688-4689",admin.,single,secondary,False,462,True,True,cellular,6,apr,272,1,335,4,other,False,cole,osbaldo,4,4,nan
177,37,"3701shanylandingave.\nshermanland,ms38569-8882",admin.,married,secondary,False,176,True,False,cellular,5,may,147,2,347,1,failure,False,shanahan,ericka,3,5,nan
179,37,"80194feilsummit\nsouthgreenborough,ar98444-0316",admin.,married,tertiary,False,0,True,False,cellular,17,nov,65,2,119,1,failure,False,mills,gia,3,11,nan
186,34,"8474gottliebstravenueave.\nnorthlondonmouth,ky78295-1784",admin.,married,tertiary,False,899,True,False,telephone,19,nov,377,3,7,4,success,False,vonrueden,niko,3,11,nan
187,37,"43398 graham m0unt\ns0uth b3rni3c3, fm 82645",services,single,secondary,False,21,True,False,cellular,2,feb,96,1,271,2,other,False,berge,kelsi,3,2,nan
188,36,"985 alvah mills suite 784\nsanfordville, tx 52683",technician,married,secondary,False,23,True,False,cellular,8,may,152,2,347,1,failure,False,glover,deven,3,5,nan
199,75,"827raynorlakesst.\nkuvalisport,ma59210",retired,married,secondary,False,3771,False,False,telephone,15,apr,185,1,181,2,success,True,bernier,elyssa,7,4,water
200,34,"716 schowalter hill st.\nturnermouth, ks 60089-9057",technician,single,tertiary,False,992,True,False,cellular,4,may,301,1,88,2,success,False,dooley,cornell,3,5,relief
202,35,"19213nad3rr0ads\ns0uthsv3np0rt,fm76399",technician,single,tertiary,False,2658,True,False,cellular,19,aug,768,2,141,3,failure,True,hand,jaunita,3,8,nan
203,39,"2559 hettinger lodge \nnew jessika, me 97893-5684",management,divorced,tertiary,False,1315,True,False,cellular,19,nov,1337,4,126,1,failure,False,wisozk,madeline,3,11,nan
207,29,"70203vallielight\nsouthkyleigh,ae93734",technician,married,secondary,False,1599,True,False,cellular,8,jul,115,1,61,1,failure,False,ernser,maxwell,2,7,nan
